FOOD COMMODITY GROUP;Food commodity ITEM;Water Footprint liters water/kg o liter of food ITEM;Uncertainty    low  (L)  high (H);Suggested WF value;Food commodity TYPOLOGY;Water Footprint cc water/g o cc of food TYPOLOGY;Food commodity sub-TYPOLOGY;Water Footprint cc water/g o cc of food sub-TYPOLOGY;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;MIXED VEGETABLES (F);339;L;ok item;VEGETABLES FROZEN;750;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;OAT FLAKES;2416;L;ok item;BREAKFAST CEREALS;2196;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;OAT GROATS;2536;L;ok item;PROCESSED GRAINS (grouts, malt);2133;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;OAT MEAL;2536;L;ok item;GRAIN FLOUR;1889;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;OLIVE OIL;14415;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;OLIVE OIL REFINED;14726;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;ORANGE JUICE;1019;L;ok item;JUICE;1019;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PALM OIL;4971;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PASTA*;1508;L;item matching typology;PASTA*;1508;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PEANUT OIL;7529;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PEAS (F);850;L;ok item;VEGETABLES FROZEN;750;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PESTO;2099;H;better typology;PESTO;2174;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PESTO WITHOUT GARLIC;2249;H;better typology;PESTO;2174;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PINEAPPLE JUICE;1273;L;ok item;JUICE;1019;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;PLAIN CRACKERS**;1447;L;ok item;CRACKERS;1258;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;POTATO FLAKES;1044;L;ok item;STARCHY TUBER;1523;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;POTATO FLOUR & MEAL;1436;L;ok item;STARCHY ROOT FLOUR;1657;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;POTATO STARCH;1512;L;ok item;STARCH;1591;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;POTATOES (F);575;L;ok item;VEGETABLES FROZEN;750;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;QUORNE;2000;H;better typology;VEGETAL PROTEINS;1724;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;RAPESEED OIL;4301;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;RICE FLOUR & MEAL;2429;L;ok item;GRAIN FLOUR;1889;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;RICE GROATS;2230;L;ok item;PROCESSED GRAINS (grouts, malt);2133;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;RYE FLOUR;1930;L;ok item;GRAIN FLOUR;1889;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SESAM OIL;21793;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SIMPLE COOKIES**;1723;L;ok item;BISCUITS;1870;-;-;;;;;;;;;;;;;;;;;
