FOOD COMMODITY GROUP;Food commodity ITEM;Water Footprint liters water/kg o liter of food ITEM;Uncertainty    low  (L)  high (H);Suggested WF value;Food commodity TYPOLOGY;Water Footprint cc water/g o cc of food TYPOLOGY;Food commodity sub-TYPOLOGY;Water Footprint cc water/g o cc of food sub-TYPOLOGY;;;;;;;;;;;;;;;;;
CROPS;CHERRY SWEET;1604;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;CHESTNUT;2750;L;ok item;NUTS WITH SHELL;4918;-;-;;;;;;;;;;;;;;;;;
CROPS;CHICKPEA;4177;L;ok item;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;CHILLY;7365;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;CHILLY FRESH;379;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;CINNAMON;15526;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;CITRUS;457;L;ok item;FRUIT;748;CITRUS FRUIT;654;;;;;;;;;;;;;;;;;
CROPS;CLEMENTINE;748;L;ok item;FRUIT;748;CITRUS FRUIT;654;;;;;;;;;;;;;;;;;
CROPS;CLOVE;61205;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;COCONUT;1971;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;COCONUTS;2093;L;ok item;DRIED FRUIT;2636;-;-;;;;;;;;;;;;;;;;;
CROPS;COFFEE BEAN;19928;L;ok item;COFFEE (GREEN);17912;-;-;;;;;;;;;;;;;;;;;
CROPS;COFFEE GREEN;15897;L;ok item;COFFEE (GREEN);17912;-;-;;;;;;;;;;;;;;;;;
CROPS;CORIANDER;8280;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;COWPEA;6906;L;ok item;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;CRANBERRY;276;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;CUCUMBER;353;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;CURRANT;499;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;DATES;2840;L;ok item;DRIED FRUIT;2636;-;-;;;;;;;;;;;;;;;;;
CROPS;EGGPLANT;362;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;FABA BEAN;2018;L;ok item;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;FENNEL SEEDS;8280;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;FIG;3350;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;GARLIC;589;L;ok item;VEGETABLES;336;ROOTS & BULBS;272;;;;;;;;;;;;;;;;;
CROPS;GARLIC POWDER;2265;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;GINGER;1657;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;GOOSEBERRY;526;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;GRAPES;608;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;GREEN TEA;8856;L;ok item;TEA;8856;-;-;;;;;;;;;;;;;;;;;
CROPS;GUAVA;1800;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;HAZELNUT SHELLED;10515;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;HAZELNUT WITH SHELL;5258;L;ok item;NUTS WITH SHELL;4918;-;-;;;;;;;;;;;;;;;;;
CROPS;HEMPSEED;3685;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;HOP CONE;4065;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;HOP EXTRACT;16259;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;KIWI;514;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;KOLA NUT;23391;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;LEMON;642;L;ok item;FRUIT;748;CITRUS FRUIT;654;;;;;;;;;;;;;;;;;
CROPS;LENTIL;5874;L;ok item;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;LETTUCE;237;L;ok item;VEGETABLES;336;GREEN LEAFY VEGETABLES;280;;;;;;;;;;;;;;;;;
CROPS;LIME;642;L;ok item;FRUIT;748;CITRUS FRUIT;654;;;;;;;;;;;;;;;;;
CROPS;LINSEED;5168;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;LONGABERRY;413;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;MACE;34319;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;MAIZE;1191;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;MAIZE GREEN;700;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;MANDARIN;748;L;ok item;FRUIT;748;CITRUS FRUIT;654;;;;;;;;;;;;;;;;;
CROPS;MANGO;1855;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;MANGOSTEEN;1800;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;MANIOC;564;L;ok item;STARCHY TUBERS;555;-;-;;;;;;;;;;;;;;;;;
CROPS;MILLET;4478;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;MIXED NUTS;9063;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;MULBERRY;413;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;MUSTARD SEED;2809;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;NUTMEG;34319;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;OAT;1788;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;OKRA;576;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;OLIVES*;3015;L;item matching typology;FRUIT;748;OLIVES*;3015;;;;;;;;;;;;;;;;;
CROPS;ONION;290;L;ok item;VEGETABLES;336;ROOTS & BULBS;272;;;;;;;;;;;;;;;;;
CROPS;ORANGE;654;L;ok item;FRUIT;748;CITRUS FRUIT;654;;;;;;;;;;;;;;;;;
CROPS;PALM NUT;2868;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;PAPAYA;460;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;PEA;1979;L;ok item;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;PEA (fresh);595;L;ok item;LEGUMES FRESH;555,5;-;-;;;;;;;;;;;;;;;;;
CROPS;PEACH;910;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;PEANUT;2782;L;ok item;NUTS WITH SHELL;4918;-;-;;;;;;;;;;;;;;;;;
CROPS;PEAR;922;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;PEPPER;379;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;PEPPER (PIPER SPP.);7611;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;PEPPERMINT;288;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;PIGEON PEA;5494;L;ok item;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;PINEAPPLE;255;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;PISTACHIO;11363;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;PLANTAIN;1602;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;PLUM;2180;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;POPPY SEED;2188;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;POTATO;554,8;H;better typology;STARCHY TUBERS;555;-;-;;;;;;;;;;;;;;;;;
CROPS;PUMPKIN;400;H;better typology;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;RAISINS;2433;L;ok item;DRIED FRUIT;2636;-;-;;;;;;;;;;;;;;;;;
CROPS;RAPESEED;2271;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;RASPBERRY;413;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;RICE;1597;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;RYE;1554;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;SAFFRON;731000;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;SESAM SEED;9371;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;SHALLOT;272;L;ok item;VEGETABLES;336;ROOTS & BULBS;272;;;;;;;;;;;;;;;;;
CROPS;SORGHUM;3048;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;SOYBEAN;1816,4;L;better typology;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;SPINACH;292;L;ok item;VEGETABLES;336;GREEN LEAFY VEGETABLES;280;;;;;;;;;;;;;;;;;
CROPS;SQUASH;336;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;STRAWBERRY;247,9;L;better sub-typology;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;STRING BEAN;547;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;SUGAR BEET;132;L;ok item;SUGAR CROPS;171;-;-;;;;;;;;;;;;;;;;;
CROPS;SUGAR CANE;210;L;ok item;SUGAR CROPS;171;-;-;;;;;;;;;;;;;;;;;
CROPS;SUNFLOWER SEED;3366;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;SWEET POTATO;383;L;ok item;STARCHY TUBERS;555;-;-;;;;;;;;;;;;;;;;;
CROPS;TANGERIN;748;L;ok item;FRUIT;748;CITRUS FRUIT;654;;;;;;;;;;;;;;;;;
CROPS;TARO;606;L;ok item;STARCHY TUBERS;555;-;-;;;;;;;;;;;;;;;;;
CROPS;TOMATO;41;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;TOMATO DRIED*;4276;L;item matching typology;VEGETABLES DRIED* (tomato);4276;-;-;;;;;;;;;;;;;;;;;
CROPS;TURNIP;195;L;ok item;VEGETABLES;336;ROOTS & BULBS;272;;;;;;;;;;;;;;;;;
CROPS;VANILLA BEAN;126505;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;WALNUT SHELLED;9172,5;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;WALNUT WITH SHELL;4918;L;ok item;NUTS WITH SHELL;4918;-;-;;;;;;;;;;;;;;;;;
CROPS;WATERMELON;185;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;WHEAT;1639;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;YAM;343;L;ok item;STARCHY TUBERS;555;-;-;;;;;;;;;;;;;;;;;
CROPS;ZUCCHINI;336;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
FISHING;BLACK CARP;2555;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;CARP;2364;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;COD;2782;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;CRUSTACEAN;1974;L;ok item;SHELLFISH* (crustacean);1856;CRUSTACEAN*;1856;;;;;;;;;;;;;;;;;
FISHING;FLOUNDER;798;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;GILSTHEAD SEABREAM;3543,5;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;GRASS CARP;2229;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;GROUPER;360;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;MAJOR CARP;3808;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;MANDARIN FISH;88;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;MILKFISH;2471,5;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;PANGASIID;1909,5;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;PRAWNS GIANT;1738;L;ok item;SHELLFISH* (crustacean);1856;CRUSTACEAN*;1856;;;;;;;;;;;;;;;;;
FISHING;RED DRUM;2202;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;SALMON;2193;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;SEABASS;6524;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;SILVERBARB;2861,5;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;STURGEON;13420;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;TILAPIA;2263;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;TROUT;2188;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;TURBOT;1504;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
FISHING;WUCHANG BREAM;10550;L;ok item;FISH;2313;-;-;;;;;;;;;;;;;;;;;
